10.2307/2429549	1961	THE CASE FOR EXTENSIVE RATHER THAN INTENSIVE SAMPLING IN GENECOLOGY	NEW PHYTOLOGIST
10.2307/1712862	1964	FRONT MATTER	SCIENCE
10.2307/2429790	1961	CYTOGENETIC RELATIONSHIPS OF VIOLA LACTEA SM. AND OTHER WEST EUROPEAN AROSULATE VIOLETS	NEW PHYTOLOGIST
10.2307/23311574	1965	INTERPRETATION OF CROSSING DIAGRAMS	RHODORA
10.2307/2439724	1962	RACIAL DIFFERENCES IN WIDESPREAD SPECIES, WITH SPECIAL REFERENCE TO THOSE COMMON TO JAPAN AND NORTH AMERICA	AMERICAN JOURNAL OF BOTANY
10.2307/1716414	1965	HANDBOOK OF PHYSIOLOGY	SCIENCE
10.2307/2805241	1965	TAXONOMIC AND EVOLUTIONARY IMPLICATIONS OF LAWN RACES IN PRUNELLA VULGARIS (LABIATAE)	BRITTONIA
10.2307/2257454	1962	THE GROWTH AND COMPETITIVE ABILITY OF CONTRASTING NATURAL POPULATIONS OF TRIFOLIUM REPENS L. ON CALCAREOUS AND ACID SOILS	JOURNAL OF ECOLOGY
10.2307/4108217	1965	PLANT MUTATIONS	KEW BULLETIN
10.2307/2819161	1963	EXPERIMENTAL STUDIES IN TWO GENERA OF HELENIEAE (COMPOSITAE): BLENNOSPERMA AND LASTHENIA	THE QUARTERLY REVIEW OF BIOLOGY
10.2307/2816915	1961		THE QUARTERLY REVIEW OF BIOLOGY
10.2307/4440084	1962		THE AMERICAN BIOLOGY TEACHER
10.2307/1216701	1965	'IMPROVEMENT' VERSUS STABILITY IN BOTANICAL CLASSIFICATION	TAXON
10.2307/1293243	1964	BACK MATTER	BIOSCIENCE
10.2307/1716860	1965	NEW BOOKS	SCIENCE
10.2307/41422108	1934	NOTES AND NEWS	MADRONO
10.2307/41422063	1933	NOTES AND NEWS	MADRONO
10.2307/2428512	1931	EXPERIMENTAL DELIMITATION OF SPECIES	NEW PHYTOLOGIST
10.2307/41421955	1931	THE ANNUAL DINNER FOR 1930	MADRONO
10.2307/2471834	1934	EXPERIMENTAL DATA FOR A REVISION OF THE NORTH AMERICAN WILD ROSES	BOTANICAL GAZETTE
10.2307/41422122	1934	NOTES AND NEWS	MADRONO
10.2307/1658697	1933	THE SEVENTEENTH ANNUAL MEETING OF THE PACIFIC DIVISION OF THE AMERICAN ASSOCIATION. II	SCIENCE
10.2307/984692	1935	CYTO-TAXONOMIC STUDIES ON CERTAIN OENOTHERAS FROM CALIFORNIA	PROCEEDINGS OF THE AMERICAN PHILOSOPHICAL SOCIETY
10.2307/769446	1968	JOHN WILLIAM HESLOP HARRISON. 1881-1967	BIOGRAPHICAL MEMOIRS OF FELLOWS OF THE ROYAL SOCIETY
10.2307/3224594	1967	SCENEDESMUS WALL ORNAMENTATION. III. EFFECT OF CULTURE MEDIUM ON SPINE LENGTH AND THICKNESS	TRANSACTIONS OF THE AMERICAN MICROSCOPICAL SOCIETY
10.2307/2430278	1969	THE SIGNIFICANCE OF CLINAL VARIATION IN DACTYLIS MARINA BORRILL	NEW PHYTOLOGIST
